id_produto,nome_produto,categoria,subcategoria,marca,valor_unitario,status_produto
1,Notebook EvoTech Business-01,Informática,Notebook,EvoTech,9167.54,Ativo
2,Notebook PrimeWare Pro-02,Informática,Notebook,PrimeWare,7556.08,Ativo
3,Notebook Sigma Pro-03,Informática,Notebook,Sigma,3457.53,Ativo
4,Notebook Sigma Business-04,Informática,Notebook,Sigma,5616.18,Ativo
5,Notebook Vertex Max-05,Informática,Notebook,Vertex,7723.61,Inativo
6,Notebook Vision Max-06,Informática,Notebook,Vision,5144.44,Ativo
7,Notebook NovaData Smart-07,Informática,Notebook,NovaData,2676.88,Ativo
8,Notebook Vision Office-08,Informática,Notebook,Vision,9273.69,Ativo
9,Notebook DataPro Smart-09,Informática,Notebook,DataPro,5749.91,Ativo
10,Notebook AlphaTech Plus-10,Informática,Notebook,AlphaTech,2917.72,Ativo
11,Desktop PrimeWare Plus-01,Informática,Desktop,PrimeWare,3265.43,Ativo
12,Desktop Orion Pro-02,Informática,Desktop,Orion,2909.52,Ativo
13,Desktop Sigma Smart-03,Informática,Desktop,Sigma,6133.61,Ativo
14,Desktop Orion Plus-04,Informática,Desktop,Orion,6552.23,Ativo
15,Desktop Quantum Pro-05,Informática,Desktop,Quantum,3926.88,Ativo
16,Desktop Quantum Plus-06,Informática,Desktop,Quantum,3146.65,Ativo
17,Desktop Vertex Office-07,Informática,Desktop,Vertex,2067.24,Ativo
18,Desktop Sigma Smart-08,Informática,Desktop,Sigma,3400.18,Ativo
19,Desktop Vision Office-09,Informática,Desktop,Vision,4803.32,Ativo
20,Desktop EvoTech Plus-10,Informática,Desktop,EvoTech,4424.24,Ativo
21,Monitor Nexus Office-01,Informática,Monitor,Nexus,886.30,Ativo
22,Monitor AlphaTech Office-02,Informática,Monitor,AlphaTech,2271.52,Ativo
23,Monitor Vision Office-03,Informática,Monitor,Vision,2998.54,Inativo
24,Monitor Vertex Pro-04,Informática,Monitor,Vertex,2619.35,Inativo
25,Monitor EvoTech Max-05,Informática,Monitor,EvoTech,2196.73,Ativo
26,Monitor AlphaTech Plus-06,Informática,Monitor,AlphaTech,1777.94,Ativo
27,Monitor NovaData Office-07,Informática,Monitor,NovaData,1775.61,Ativo
28,Monitor Vision Smart-08,Informática,Monitor,Vision,1461.30,Ativo
29,Monitor Orion Office-09,Informática,Monitor,Orion,2199.49,Ativo
30,Monitor EvoTech Pro-10,Informática,Monitor,EvoTech,1947.97,Ativo
31,Impressora NovaData Business-01,Informática,Impressora,NovaData,768.38,Ativo
32,Impressora Nexus Plus-02,Informática,Impressora,Nexus,1029.07,Ativo
33,Impressora Quantum Smart-03,Informática,Impressora,Quantum,1865.74,Ativo
34,Impressora Integra Pro-04,Informática,Impressora,Integra,3278.98,Ativo
35,Impressora DataPro Smart-05,Informática,Impressora,DataPro,721.83,Ativo
36,Impressora AlphaTech Smart-06,Informática,Impressora,AlphaTech,4174.41,Ativo
37,Impressora DataPro Business-07,Informática,Impressora,DataPro,1099.63,Ativo
38,Impressora Integra Office-08,Informática,Impressora,Integra,1605.03,Ativo
39,Impressora EvoTech Max-09,Informática,Impressora,EvoTech,1731.96,Ativo
40,Impressora NovaData Max-10,Informática,Impressora,NovaData,1027.85,Ativo
41,Tablet Integra Pro-01,Informática,Tablet,Integra,1141.47,Ativo
42,Tablet Integra Business-02,Informática,Tablet,Integra,3978.57,Ativo
43,Tablet Vision Pro-03,Informática,Tablet,Vision,5051.63,Ativo
44,Tablet Vision Office-04,Informática,Tablet,Vision,5171.38,Ativo
45,Tablet DataPro Smart-05,Informática,Tablet,DataPro,2202.75,Ativo
46,Tablet Vision Business-06,Informática,Tablet,Vision,1469.09,Ativo
47,Tablet Nexus Business-07,Informática,Tablet,Nexus,3049.48,Ativo
48,Tablet Integra Plus-08,Informática,Tablet,Integra,1625.39,Ativo
49,Tablet Integra Max-09,Informática,Tablet,Integra,1536.83,Ativo
50,Tablet Vertex Max-10,Informática,Tablet,Vertex,2870.49,Ativo
51,Teclado PrimeWare Business-01,Acessórios,Teclado,PrimeWare,123.98,Ativo
52,Teclado Vertex Office-02,Acessórios,Teclado,Vertex,187.51,Ativo
53,Teclado AlphaTech Business-03,Acessórios,Teclado,AlphaTech,557.41,Ativo
54,Teclado PrimeWare Office-04,Acessórios,Teclado,PrimeWare,146.22,Ativo
55,Teclado Sigma Smart-05,Acessórios,Teclado,Sigma,306.84,Ativo
56,Teclado EvoTech Plus-06,Acessórios,Teclado,EvoTech,294.70,Ativo
